name	bins	geneID	gname	tid	strand	gene_biotype
bins320251_ENSG00000136754	bins320251	ENSG00000136754	ABI1	ENST00000346832	-	protein_coding
bins320401_ENSG00000107890	bins320401	ENSG00000107890	ANKRD26	ENST00000436985	-	protein_coding
bins320551_ENSG00000120539	bins320551	ENSG00000120539	MASTL	ENST00000375946	+	protein_coding
bins320701_ENSG00000136758	bins320701	ENSG00000136758	YME1L1	ENST00000613434	-	protein_coding
bins320851_ENSG00000107897	bins320851	ENSG00000107897	ACBD5	ENST00000375905	-	protein_coding
bins321001_ENSG00000182077	bins321001	ENSG00000182077	PTCHD3	ENST00000438700	-	protein_coding
bins321151_ENSG00000099246	bins321151	ENSG00000099246	RAB18	ENST00000535776	+	protein_coding
bins321301_ENSG00000150051	bins321301	ENSG00000150051	MKX	ENST00000375790	-	protein_coding
bins321451_ENSG00000169126	bins321451	ENSG00000169126	ARMC4	ENST00000305242	-	protein_coding
bins321601_ENSG00000150054	bins321601	ENSG00000150054	MPP7	ENST00000441595	-	protein_coding
bins321751_ENSG00000095787	bins321751	ENSG00000095787	WAC	ENST00000375664	+	protein_coding
bins321901_ENSG00000095739	bins321901	ENSG00000095739	BAMBI	ENST00000375533	+	protein_coding
bins322051_ENSG00000204365	bins322051	ENSG00000204365	C10orf126	ENST00000375520	+	lincRNA
bins322201_ENSG00000120563	bins322201	ENSG00000120563	LYZL1	ENST00000494304	+	protein_coding
bins322351_ENSG00000197321	bins322351	ENSG00000197321	SVIL	ENST00000375400	-	protein_coding
bins322501_ENSG00000165757	bins322501	ENSG00000165757	KIAA1462	ENST00000465712	-	protein_coding
bins322651_ENSG00000107951	bins322651	ENSG00000107951	MTPAP	ENST00000488290	-	protein_coding
bins322801_ENSG00000107968	bins322801	ENSG00000107968	MAP3K8	ENST00000263056	+	protein_coding
bins322951_ENSG00000151033	bins322951	ENSG00000151033	LYZL2	ENST00000375318	-	protein_coding
bins323101_ENSG00000183621	bins323101	ENSG00000183621	ZNF438	ENST00000413025	-	protein_coding
bins323251_ENSG00000148516	bins323251	ENSG00000148516	ZEB1	ENST00000488625	+	protein_coding
bins323401_ENSG00000165322	bins323401	ENSG00000165322	ARHGAP12	ENST00000396144	-	protein_coding
bins323551_ENSG00000170759	bins323551	ENSG00000170759	KIF5B	ENST00000302418	-	protein_coding
bins323701_ENSG00000120616	bins323701	ENSG00000120616	EPC1	ENST00000375110	-	protein_coding
bins323851_ENSG00000216937	bins323851	ENSG00000216937	CCDC7	ENST00000277657	+	protein_coding
bins324001_ENSG00000150076	bins324001	ENSG00000150076	C10ORF68	ENST00000302316	+	protein_coding
bins324151_ENSG00000150093	bins324151	ENSG00000150093	ITGB1	ENST00000475184	-	protein_coding
bins324301_ENSG00000099250	bins324301	ENSG00000099250	NRP1	ENST00000265371	-	protein_coding
bins324451_ENSG00000148498	bins324451	ENSG00000148498	PARD3	ENST00000545260	-	protein_coding
bins324601_ENSG00000108094	bins324601	ENSG00000108094	CUL2	ENST00000374754	-	protein_coding
bins324751_ENSG00000095794	bins324751	ENSG00000095794	CREM	ENST00000374728	+	protein_coding
bins324901_ENSG00000108100	bins324901	ENSG00000108100	CCNY	ENST00000374706	+	protein_coding
bins325051_ENSG00000177291	bins325051	ENSG00000177291	GJD4	ENST00000321660	+	protein_coding
bins325201_ENSG00000177283	bins325201	ENSG00000177283	FZD8	ENST00000374694	-	protein_coding
bins325351_ENSG00000229644	bins325351	ENSG00000229644	NAMPTL	ENST00000440465	-	processed_pseudogene
bins325501_ENSG00000148513	bins325501	ENSG00000148513	ANKRD30A	ENST00000602533	+	protein_coding
bins325651_ENSG00000256892	bins325651	ENSG00000256892	MTRNR2L7	ENST00000544824	-	protein_coding
bins325801_ENSG00000198105	bins325801	ENSG00000198105	ZNF248	ENST00000615949	-	protein_coding
bins325951_ENSG00000175395	bins325951	ENSG00000175395	ZNF25	ENST00000302609	-	protein_coding
bins326101_ENSG00000189180	bins326101	ENSG00000189180	ZNF33A	ENST00000469037	+	protein_coding
bins326251_ENSG00000075407	bins326251	ENSG00000075407	ZNF37A	ENST00000361085	+	protein_coding
bins326401_ENSG00000196693	bins326401	ENSG00000196693	ZNF33B	ENST00000486187	-	protein_coding
bins326551_ENSG00000165733	bins326551	ENSG00000165733	BMS1	ENST00000374518	+	protein_coding
bins326701_ENSG00000165731	bins326701	ENSG00000165731	RET	ENST00000355710	+	protein_coding
bins326851_ENSG00000169826	bins326851	ENSG00000169826	CSGALNACT2	ENST00000374466	+	protein_coding
bins327001_ENSG00000198915	bins327001	ENSG00000198915	RASGEF1A	ENST00000395810	-	protein_coding
bins327151_ENSG00000150201	bins327151	ENSG00000150201	FXYD4	ENST00000616495	+	protein_coding
bins327301_ENSG00000169813	bins327301	ENSG00000169813	HNRNPF	ENST00000356053	-	protein_coding
bins327451_ENSG00000243660	bins327451	ENSG00000243660	ZNF487	ENST00000437590	+	protein_coding
bins327601_ENSG00000196793	bins327601	ENSG00000196793	ZNF239	ENST00000535642	-	protein_coding
bins327751_ENSG00000198298	bins327751	ENSG00000198298	ZNF485	ENST00000361807	+	protein_coding
bins327901_ENSG00000169740	bins327901	ENSG00000169740	ZNF32	ENST00000374433	-	protein_coding
bins328051_ENSG00000277288	bins328051	ENSG00000277288	AL137026.1	ENST00000619243	+	protein_coding
bins328201_ENSG00000107562	bins328201	ENSG00000107562	CXCL12	ENST00000374429	-	protein_coding
bins328351_ENSG00000187783	bins328351	ENSG00000187783	TMEM72	ENST00000389583	+	protein_coding
bins328501_ENSG00000107551	bins328501	ENSG00000107551	RASSF4	ENST00000340258	+	protein_coding
bins328651_ENSG00000165507	bins328651	ENSG00000165507	C10orf10	ENST00000496638	-	protein_coding
bins328801_ENSG00000165512	bins328801	ENSG00000165512	ZNF22	ENST00000298299	+	protein_coding
bins328951_ENSG00000165511	bins328951	ENSG00000165511	C10orf25	ENST00000298298	-	antisense
bins329101_ENSG00000256574	bins329101	ENSG00000256574	OR13A1	ENST00000553795	-	protein_coding
bins329251_ENSG00000012779	bins329251	ENSG00000012779	ALOX5	ENST00000542434	+	protein_coding
bins329401_ENSG00000165406	bins329401	ENSG00000165406	39508	ENST00000319836	-	protein_coding
bins329551_ENSG00000172671	bins329551	ENSG00000172671	ZFAND4	ENST00000374366	-	protein_coding
bins329701_ENSG00000172661	bins329701	ENSG00000172661	FAM21C	ENST00000537517	+	protein_coding
bins329851_ENSG00000231122	bins329851	ENSG00000231122	FAM25E	ENST00000411791	-	transcribed_unprocessed_pseudogene
bins330001_ENSG00000188234	bins330001	ENSG00000188234	AGAP4	ENST00000430779	-	protein_coding
bins330151_ENSG00000265354	bins330151	ENSG00000265354	TIMM23	ENST00000580018	+	protein_coding
bins330301_ENSG00000266412	bins330301	ENSG00000266412	NCOA4	ENST00000581486	-	protein_coding
bins330451_ENSG00000263639	bins330451	ENSG00000263639	MSMB	ENST00000581478	-	protein_coding
bins330601_ENSG00000274209	bins330601	ENSG00000274209	ANTXRL	ENST00000617088	+	protein_coding
bins330751_ENSG00000273225	bins330751	ENSG00000273225	AC244230.1	ENST00000608562	+	transcribed_unprocessed_pseudogene
bins330901_ENSG00000264230	bins330901	ENSG00000264230	ANXA8L2	ENST00000613703	+	protein_coding
bins331051_ENSG00000204174	bins331051	ENSG00000204174	NPY4R	ENST00000612632	-	protein_coding
bins331201_ENSG00000204175	bins331201	ENSG00000204175	GPRIN2	ENST00000374317	-	protein_coding
bins331351_ENSG00000204176	bins331351	ENSG00000204176	SYT15	ENST00000374323	+	protein_coding
bins331501_ENSG00000204179	bins331501	ENSG00000204179	PTPN20A	ENST00000374342	+	protein_coding
bins331651_ENSG00000266524	bins331651	ENSG00000266524	GDF10	ENST00000580279	+	protein_coding
bins331801_ENSG00000263761	bins331801	ENSG00000263761	GDF2	ENST00000581492	+	protein_coding
bins331951_ENSG00000265203	bins331951	ENSG00000265203	RBP3	ENST00000584701	+	protein_coding
bins332101_ENSG00000265763	bins332101	ENSG00000265763	ZNF488	ENST00000585316	-	protein_coding
bins332251_ENSG00000265190	bins332251	ENSG00000265190	ANXA8	ENST00000583448	-	protein_coding
bins332401_ENSG00000189090	bins332401	ENSG00000189090	FAM25BP	ENST00000452267	-	protein_coding
bins332551_ENSG00000204172	bins332551	ENSG00000204172	AGAP10	ENST00000413193	-	protein_coding
bins332701_ENSG00000170324	bins332701	ENSG00000170324	FRMPD2	ENST00000374201	-	protein_coding
bins332851_ENSG00000107643	bins332851	ENSG00000107643	MAPK8	ENST00000395611	+	protein_coding
bins333001_ENSG00000128805	bins333001	ENSG00000128805	ARHGAP22	ENST00000460425	-	protein_coding
bins333151_ENSG00000128815	bins333151	ENSG00000128815	WDFY4	ENST00000325239	+	protein_coding
bins333301_ENSG00000165383	bins333301	ENSG00000165383	LRRC18	ENST00000298124	-	protein_coding
bins333451_ENSG00000165633	bins333451	ENSG00000165633	VSTM4	ENST00000332853	-	protein_coding
bins333601_ENSG00000172538	bins333601	ENSG00000172538	FAM170B	ENST00000311787	-	protein_coding
bins333751_ENSG00000204161	bins333751	ENSG00000204161	C10orf128	ENST00000374151	-	protein_coding
bins333901_ENSG00000177354	bins333901	ENSG00000177354	C10orf71	ENST00000374144	+	protein_coding
bins334051_ENSG00000165606	bins334051	ENSG00000165606	DRGX	ENST00000374139	-	protein_coding
bins334201_ENSG00000243251	bins334201	ENSG00000243251	PGBD3	ENST00000374127	-	protein_coding
bins334351_ENSG00000225830	bins334351	ENSG00000225830	ERCC6	ENST00000355832	-	protein_coding
bins334501_ENSG00000258838	bins334501	ENSG00000258838	ERCC6-PGBD3	ENST00000515869	-	protein_coding
bins334651_ENSG00000070748	bins334651	ENSG00000070748	CHAT	ENST00000339797	+	protein_coding
bins334801_ENSG00000187714	bins334801	ENSG00000187714	SLC18A3	ENST00000374115	+	protein_coding
bins334951_ENSG00000178645	bins334951	ENSG00000178645	C10orf53	ENST00000374112	+	protein_coding
bins335101_ENSG00000197444	bins335101	ENSG00000197444	OGDHL	ENST00000419399	-	protein_coding
bins335251_ENSG00000204152	bins335251	ENSG00000204152	TIMM23B	ENST00000478381	+	protein_coding
bins335401_ENSG00000227345	bins335401	ENSG00000227345	PARG	ENST00000402038	-	protein_coding
bins335551_ENSG00000204149	bins335551	ENSG00000204149	AGAP6	ENST00000618025	+	protein_coding
bins335701_ENSG00000099290	bins335701	ENSG00000099290	FAM21A	ENST00000314664	+	protein_coding
bins335851_ENSG00000188611	bins335851	ENSG00000188611	ASAH2	ENST00000395526	-	protein_coding
bins336001_ENSG00000198964	bins336001	ENSG00000198964	SGMS1	ENST00000429490	-	protein_coding
bins336151_ENSG00000204147	bins336151	ENSG00000204147	ASAH2B	ENST00000483649	+	protein_coding
bins336301_ENSG00000148584	bins336301	ENSG00000148584	A1CF	ENST00000374001	-	protein_coding
bins336451_ENSG00000185532	bins336451	ENSG00000185532	PRKG1	ENST00000373985	+	protein_coding
bins336601_ENSG00000177613	bins336601	ENSG00000177613	CSTF2T	ENST00000331173	-	protein_coding
bins336751_ENSG00000107984	bins336751	ENSG00000107984	DKK1	ENST00000373970	+	protein_coding
bins336901_ENSG00000165471	bins336901	ENSG00000165471	MBL2	ENST00000373968	-	protein_coding
bins337051_ENSG00000249860	bins337051	ENSG00000249860	MTRNR2L5	ENST00000512524	+	protein_coding
bins337201_ENSG00000150275	bins337201	ENSG00000150275	PCDH15	ENST00000613346	-	protein_coding
bins337351_ENSG00000122952	bins337351	ENSG00000122952	ZWINT	ENST00000373944	-	protein_coding
bins337501_ENSG00000151151	bins337501	ENSG00000151151	IPMK	ENST00000373935	-	protein_coding
bins337651_ENSG00000122873	bins337651	ENSG00000122873	CISD1	ENST00000333926	+	protein_coding
bins337801_ENSG00000072401	bins337801	ENSG00000072401	UBE2D1	ENST00000373910	+	protein_coding
bins337951_ENSG00000108064	bins337951	ENSG00000108064	TFAM	ENST00000487519	+	protein_coding
bins338101_ENSG00000122870	bins338101	ENSG00000122870	BICC1	ENST00000373886	+	protein_coding
bins338251_ENSG00000165443	bins338251	ENSG00000165443	PHYHIPL	ENST00000373880	+	protein_coding
bins338401_ENSG00000148541	bins338401	ENSG00000148541	FAM13C	ENST00000618427	-	protein_coding
bins338551_ENSG00000165449	bins338551	ENSG00000165449	SLC16A9	ENST00000395347	-	protein_coding
bins338701_ENSG00000108091	bins338701	ENSG00000108091	CCDC6	ENST00000263102	-	protein_coding
bins338851_ENSG00000235931	bins338851	ENSG00000235931	C10orf40	ENST00000521074	-	lincRNA
bins339001_ENSG00000151150	bins339001	ENSG00000151150	ANK3	ENST00000373827	-	protein_coding
bins339151_ENSG00000170312	bins339151	ENSG00000170312	CDK1	ENST00000395284	+	protein_coding
bins339301_ENSG00000072422	bins339301	ENSG00000072422	RHOBTB1	ENST00000357917	-	protein_coding
bins339451_ENSG00000196932	bins339451	ENSG00000196932	TMEM26	ENST00000399298	-	protein_coding
bins339601_ENSG00000183346	bins339601	ENSG00000183346	C10orf107	ENST00000330194	+	protein_coding
bins339751_ENSG00000150347	bins339751	ENSG00000150347	ARID5B	ENST00000279873	+	protein_coding
bins339901_ENSG00000182010	bins339901	ENSG00000182010	RTKN2	ENST00000373789	-	protein_coding
bins340051_ENSG00000138311	bins340051	ENSG00000138311	ZNF365	ENST00000410046	+	protein_coding
bins340201_ENSG00000181915	bins340201	ENSG00000181915	ADO	ENST00000373783	+	protein_coding
bins340351_ENSG00000122877	bins340351	ENSG00000122877	EGR2	ENST00000493899	-	protein_coding
bins340501_ENSG00000148572	bins340501	ENSG00000148572	NRBF2	ENST00000435510	+	protein_coding
bins340651_ENSG00000165476	bins340651	ENSG00000165476	REEP3	ENST00000373758	+	protein_coding
bins340801_ENSG00000171988	bins340801	ENSG00000171988	JMJD1C	ENST00000399262	-	protein_coding
bins340951_ENSG00000198739	bins340951	ENSG00000198739	LRRTM3	ENST00000361320	+	protein_coding
bins341101_ENSG00000183230	bins341101	ENSG00000183230	CTNNA3	ENST00000433211	-	protein_coding
bins341251_ENSG00000108176	bins341251	ENSG00000108176	DNAJC12	ENST00000225171	-	protein_coding
bins341401_ENSG00000096717	bins341401	ENSG00000096717	SIRT1	ENST00000212015	+	protein_coding
bins341551_ENSG00000148634	bins341551	ENSG00000148634	HERC4	ENST00000395198	-	protein_coding
bins341701_ENSG00000138347	bins341701	ENSG00000138347	MYPN	ENST00000540630	+	protein_coding
bins341851_ENSG00000179774	bins341851	ENSG00000179774	ATOH7	ENST00000373673	-	protein_coding
bins342001_ENSG00000096746	bins342001	ENSG00000096746	HNRNPH3	ENST00000265866	+	protein_coding
bins342151_ENSG00000108187	bins342151	ENSG00000108187	PBLD	ENST00000358769	-	protein_coding
bins342301_ENSG00000204130	bins342301	ENSG00000204130	RUFY2	ENST00000466493	-	protein_coding
bins342451_ENSG00000138346	bins342451	ENSG00000138346	DNA2	ENST00000358410	-	protein_coding
bins342601_ENSG00000122912	bins342601	ENSG00000122912	SLC25A16	ENST00000609923	-	protein_coding
bins342751_ENSG00000138336	bins342751	ENSG00000138336	TET1	ENST00000373644	+	protein_coding
bins342901_ENSG00000060339	bins342901	ENSG00000060339	CCAR1	ENST00000265872	+	protein_coding
bins343051_ENSG00000165730	bins343051	ENSG00000165730	STOX1	ENST00000399169	+	protein_coding
bins343201_ENSG00000107625	bins343201	ENSG00000107625	DDX50	ENST00000373585	+	protein_coding
bins343351_ENSG00000165732	bins343351	ENSG00000165732	DDX21	ENST00000354185	+	protein_coding
bins343501_ENSG00000198954	bins343501	ENSG00000198954	KIAA1279	ENST00000361983	+	protein_coding
bins343651_ENSG00000122862	bins343651	ENSG00000122862	SRGN	ENST00000242465	+	protein_coding
bins343801_ENSG00000122958	bins343801	ENSG00000122958	VPS26A	ENST00000373382	+	protein_coding
bins343951_ENSG00000156502	bins343951	ENSG00000156502	SUPV3L1	ENST00000359655	+	protein_coding
bins344101_ENSG00000156510	bins344101	ENSG00000156510	HKDC1	ENST00000354624	+	protein_coding
bins344251_ENSG00000156515	bins344251	ENSG00000156515	HK1	ENST00000448642	+	protein_coding
bins344401_ENSG00000075073	bins344401	ENSG00000075073	TACR2	ENST00000373306	-	protein_coding
bins344551_ENSG00000099282	bins344551	ENSG00000099282	TSPAN15	ENST00000373290	+	protein_coding
bins344701_ENSG00000122859	bins344701	ENSG00000122859	NEUROG3	ENST00000242462	-	protein_coding
bins344851_ENSG00000171224	bins344851	ENSG00000171224	C10orf35	ENST00000373279	+	protein_coding
bins345001_ENSG00000235645	bins345001	ENSG00000235645	RP11-242G20.1	ENST00000434931	+	lincRNA
bins345151_ENSG00000197467	bins345151	ENSG00000197467	COL13A1	ENST00000398978	+	protein_coding
bins345301_ENSG00000099284	bins345301	ENSG00000099284	H2AFY2	ENST00000373255	+	protein_coding
bins345451_ENSG00000042286	bins345451	ENSG00000042286	AIFM2	ENST00000373248	-	protein_coding
bins345601_ENSG00000156521	bins345601	ENSG00000156521	TYSND1	ENST00000479086	-	protein_coding
bins345751_ENSG00000079332	bins345751	ENSG00000079332	SAR1A	ENST00000373242	-	protein_coding
bins345901_ENSG00000180817	bins345901	ENSG00000180817	PPA1	ENST00000373232	-	protein_coding
bins346051_ENSG00000148734	bins346051	ENSG00000148734	NPFFR1	ENST00000277942	-	protein_coding
bins346201_ENSG00000172731	bins346201	ENSG00000172731	LRRC20	ENST00000395010	-	protein_coding
bins346351_ENSG00000148730	bins346351	ENSG00000148730	EIF4EBP2	ENST00000373218	+	protein_coding
bins346501_ENSG00000156574	bins346501	ENSG00000156574	NODAL	ENST00000414871	-	protein_coding
bins346651_ENSG00000107719	bins346651	ENSG00000107719	PALD1	ENST00000263563	+	protein_coding
bins346801_ENSG00000180644	bins346801	ENSG00000180644	PRF1	ENST00000441259	-	protein_coding
bins346951_ENSG00000138316	bins346951	ENSG00000138316	ADAMTS14	ENST00000373207	+	protein_coding
bins347101_ENSG00000166220	bins347101	ENSG00000166220	TBATA	ENST00000299290	-	protein_coding
bins347251_ENSG00000166224	bins347251	ENSG00000166224	SGPL1	ENST00000373202	+	protein_coding
bins347401_ENSG00000166228	bins347401	ENSG00000166228	PCBD1	ENST00000299299	-	protein_coding
bins347551_ENSG00000107731	bins347551	ENSG00000107731	UNC5B	ENST00000335350	+	protein_coding
bins347701_ENSG00000198246	bins347701	ENSG00000198246	SLC29A3	ENST00000373189	+	protein_coding
bins347851_ENSG00000107736	bins347851	ENSG00000107736	CDH23	ENST00000224721	+	protein_coding
bins348001_ENSG00000214688	bins348001	ENSG00000214688	C10orf105	ENST00000398786	-	protein_coding
bins348151_ENSG00000107738	bins348151	ENSG00000107738	C10orf54	ENST00000394957	-	protein_coding
bins348301_ENSG00000197746	bins348301	ENSG00000197746	PSAP	ENST00000394936	-	protein_coding
bins348451_ENSG00000122863	bins348451	ENSG00000122863	CHST3	ENST00000373115	+	protein_coding
bins348601_ENSG00000107742	bins348601	ENSG00000107742	SPOCK2	ENST00000317376	-	protein_coding
bins348751_ENSG00000166295	bins348751	ENSG00000166295	ANAPC16	ENST00000621663	+	protein_coding
bins348901_ENSG00000138303	bins348901	ENSG00000138303	ASCC1	ENST00000394919	-	protein_coding
bins349051_ENSG00000168209	bins349051	ENSG00000168209	DDIT4	ENST00000307365	+	protein_coding
bins349201_ENSG00000148719	bins349201	ENSG00000148719	DNAJB12	ENST00000444643	-	protein_coding
bins349351_ENSG00000107745	bins349351	ENSG00000107745	MICU1	ENST00000398761	-	protein_coding
bins349501_ENSG00000156026	bins349501	ENSG00000156026	MCU	ENST00000373053	+	protein_coding
bins349651_ENSG00000138315	bins349651	ENSG00000138315	OIT3	ENST00000334011	+	protein_coding
bins349801_ENSG00000138308	bins349801	ENSG00000138308	PLA2G12B	ENST00000373032	-	protein_coding
bins349951_ENSG00000122884	bins349951	ENSG00000122884	P4HA1	ENST00000440381	-	protein_coding
bins350101_ENSG00000166321	bins350101	ENSG00000166321	NUDT13	ENST00000544879	+	protein_coding
bins350251_ENSG00000138286	bins350251	ENSG00000138286	FAM149B1	ENST00000242505	+	protein_coding
bins350401_ENSG00000122882	bins350401	ENSG00000122882	ECD	ENST00000372979	-	protein_coding
bins350551_ENSG00000213551	bins350551	ENSG00000213551	DNAJC9	ENST00000469143	-	protein_coding
bins350701_ENSG00000182180	bins350701	ENSG00000182180	MRPS16	ENST00000372945	-	protein_coding
bins350851_ENSG00000156042	bins350851	ENSG00000156042	TTC18	ENST00000310715	-	protein_coding
bins351001_ENSG00000138279	bins351001	ENSG00000138279	ANXA7	ENST00000372921	-	protein_coding
bins351151_ENSG00000166343	bins351151	ENSG00000166343	MSS51	ENST00000487126	-	protein_coding
bins351301_ENSG00000107758	bins351301	ENSG00000107758	PPP3CB	ENST00000360663	-	protein_coding
bins351451_ENSG00000166348	bins351451	ENSG00000166348	USP54	ENST00000339859	-	protein_coding
bins351601_ENSG00000177791	bins351601	ENSG00000177791	MYOZ1	ENST00000359322	-	protein_coding
bins351751_ENSG00000166317	bins351751	ENSG00000166317	SYNPO2L	ENST00000394810	-	protein_coding
bins351901_ENSG00000172650	bins351901	ENSG00000172650	AGAP5	ENST00000374094	-	protein_coding
bins352051_ENSG00000176986	bins352051	ENSG00000176986	SEC24C	ENST00000345254	+	protein_coding
bins352201_ENSG00000196968	bins352201	ENSG00000196968	FUT11	ENST00000489264	+	protein_coding
bins352351_ENSG00000172586	bins352351	ENSG00000172586	CHCHD1	ENST00000372833	+	protein_coding
bins352501_ENSG00000214655	bins352501	ENSG00000214655	ZSWIM8	ENST00000604729	+	protein_coding
bins352651_ENSG00000272916	bins352651	ENSG00000272916	RP11-574K11.31	ENST00000603027	-	protein_coding
bins352801_ENSG00000166507	bins352801	ENSG00000166507	NDST2	ENST00000309979	-	protein_coding
bins352951_ENSG00000148660	bins352951	ENSG00000148660	CAMK2G	ENST00000322680	-	protein_coding
bins353101_ENSG00000122861	bins353101	ENSG00000122861	PLAU	ENST00000446342	+	protein_coding
bins353251_ENSG00000222047	bins353251	ENSG00000222047	C10orf55	ENST00000409178	-	protein_coding
bins353401_ENSG00000035403	bins353401	ENSG00000035403	VCL	ENST00000372755	+	protein_coding
bins353551_ENSG00000185009	bins353551	ENSG00000185009	AP3M1	ENST00000355264	-	protein_coding
bins353701_ENSG00000156110	bins353701	ENSG00000156110	ADK	ENST00000539909	+	protein_coding
bins353851_ENSG00000156650	bins353851	ENSG00000156650	KAT6B	ENST00000372725	+	protein_coding
bins354001_ENSG00000188716	bins354001	ENSG00000188716	DUPD1	ENST00000338487	-	protein_coding
bins354151_ENSG00000156671	bins354151	ENSG00000156671	SAMD8	ENST00000542569	+	protein_coding
bins354301_ENSG00000079393	bins354301	ENSG00000079393	DUSP13	ENST00000372702	-	protein_coding
bins354451_ENSG00000165637	bins354451	ENSG00000165637	VDAC2	ENST00000543351	+	protein_coding
bins354601_ENSG00000165644	bins354601	ENSG00000165644	COMTD1	ENST00000372538	-	protein_coding
bins354751_ENSG00000148655	bins354751	ENSG00000148655	C10orf11	ENST00000611255	+	protein_coding
bins354901_ENSG00000156113	bins354901	ENSG00000156113	KCNMA1	ENST00000372443	-	protein_coding
bins355051_ENSG00000151208	bins355051	ENSG00000151208	DLG5	ENST00000372391	-	protein_coding
bins355201_ENSG00000148606	bins355201	ENSG00000148606	POLR3A	ENST00000372371	-	protein_coding
bins355351_ENSG00000138326	bins355351	ENSG00000138326	RPS24	ENST00000440692	+	protein_coding
bins355501_ENSG00000108175	bins355501	ENSG00000108175	ZMIZ1	ENST00000334512	+	protein_coding
bins355651_ENSG00000108179	bins355651	ENSG00000108179	PPIF	ENST00000225174	+	protein_coding
bins355801_ENSG00000165424	bins355801	ENSG00000165424	ZCCHC24	ENST00000372336	-	protein_coding
bins355951_ENSG00000253626	bins355951	ENSG00000253626	EIF5AL1	ENST00000520547	+	protein_coding
bins356101_ENSG00000185303	bins356101	ENSG00000185303	SFTPA2	ENST00000372325	-	protein_coding
bins356251_ENSG00000122852	bins356251	ENSG00000122852	SFTPA1	ENST00000419470	+	protein_coding
bins356401_ENSG00000188199	bins356401	ENSG00000188199	NUTM2B	ENST00000372321	+	protein_coding
bins356551_ENSG00000228570	bins356551	ENSG00000228570	NUTM2E	ENST00000429984	+	protein_coding
bins356701_ENSG00000133661	bins356701	ENSG00000133661	SFTPD	ENST00000444384	-	protein_coding
bins356851_ENSG00000133678	bins356851	ENSG00000133678	TMEM254	ENST00000613758	+	protein_coding
bins357001_ENSG00000189129	bins357001	ENSG00000189129	PLAC9	ENST00000372270	+	protein_coding
bins357151_ENSG00000122359	bins357151	ENSG00000122359	ANXA11	ENST00000372231	-	protein_coding
bins357301_ENSG00000151224	bins357301	ENSG00000151224	MAT1A	ENST00000372213	-	protein_coding
bins357451_ENSG00000133665	bins357451	ENSG00000133665	DYDC2	ENST00000372199	+	protein_coding
bins357601_ENSG00000170788	bins357601	ENSG00000170788	DYDC1	ENST00000372204	-	protein_coding
bins357751_ENSG00000122378	bins357751	ENSG00000122378	FAM213A	ENST00000606162	+	protein_coding
bins357901_ENSG00000108219	bins357901	ENSG00000108219	TSPAN14	ENST00000429989	+	protein_coding
bins358051_ENSG00000178217	bins358051	ENSG00000178217	SH2D4B	ENST00000339284	+	protein_coding
bins358201_ENSG00000185737	bins358201	ENSG00000185737	NRG3	ENST00000372141	+	protein_coding
bins358351_ENSG00000165678	bins358351	ENSG00000165678	GHITM	ENST00000618907	+	protein_coding
bins358501_ENSG00000188373	bins358501	ENSG00000188373	C10orf99	ENST00000372126	+	protein_coding
bins358651_ENSG00000148600	bins358651	ENSG00000148600	CDHR1	ENST00000332904	+	protein_coding
bins358801_ENSG00000204033	bins358801	ENSG00000204033	LRIT2	ENST00000372113	-	protein_coding
bins358951_ENSG00000148602	bins358951	ENSG00000148602	LRIT1	ENST00000372105	-	protein_coding
bins359101_ENSG00000148604	bins359101	ENSG00000148604	RGR	ENST00000359452	+	protein_coding
bins359251_ENSG00000107771	bins359251	ENSG00000107771	CCSER2	ENST00000372088	+	protein_coding
bins359401_ENSG00000182771	bins359401	ENSG00000182771	GRID1	ENST00000327946	-	protein_coding
bins359551_ENSG00000062650	bins359551	ENSG00000062650	WAPAL	ENST00000298767	-	protein_coding
bins359701_ENSG00000122375	bins359701	ENSG00000122375	OPN4	ENST00000443292	+	protein_coding
bins359851_ENSG00000122367	bins359851	ENSG00000122367	LDB3	ENST00000429277	+	protein_coding
bins360001_ENSG00000107779	bins360001	ENSG00000107779	BMPR1A	ENST00000372037	+	protein_coding
bins360151_ENSG00000173267	bins360151	ENSG00000173267	SNCG	ENST00000372017	+	protein_coding
bins360301_ENSG00000148671	bins360301	ENSG00000148671	ADIRF	ENST00000561504	+	protein_coding
bins360451_ENSG00000173269	bins360451	ENSG00000173269	MMRN2	ENST00000609457	-	protein_coding
bins360601_ENSG00000188100	bins360601	ENSG00000188100	FAM25A	ENST00000343959	+	protein_coding
bins360751_ENSG00000122376	bins360751	ENSG00000122376	FAM35A	ENST00000298786	+	protein_coding
bins360901_ENSG00000148672	bins360901	ENSG00000148672	GLUD1	ENST00000277865	-	protein_coding
bins361051_ENSG00000184923	bins361051	ENSG00000184923	NUTM2A	ENST00000381689	+	protein_coding
bins361201_ENSG00000214562	bins361201	ENSG00000214562	NUTM2D	ENST00000412718	+	protein_coding
bins361351_ENSG00000107789	bins361351	ENSG00000107789	MINPP1	ENST00000371996	+	protein_coding
bins361501_ENSG00000198682	bins361501	ENSG00000198682	PAPSS2	ENST00000361175	+	protein_coding
bins361651_ENSG00000138138	bins361651	ENSG00000138138	ATAD1	ENST00000308448	-	protein_coding
bins361801_ENSG00000171862	bins361801	ENSG00000171862	PTEN	ENST00000371953	+	protein_coding
